date,T0700,T1300,T1800,Trata-rata,Tmax,Tmin,RH0700,RH1300,RH1800,RHrata-rata,QFF (tekanan udara),ffrata-rata (kecepatan angin),dd (arah angin),LPM,observed,gap,sin_doy,cos_doy
2021-11-05,25.5,29.0,27.7,26.9,29.4,23.8,97.0,78.0,79.0,87.8,1010.2,3.0,180.0,6.25,1,0,-0.82354724,0.5672477
2021-11-06,26.9,32.5,29.3,28.9,32.9,23.4,83.0,60.0,73.0,74.8,1008.2,4.2,225.0,100.0,1,0,-0.81366783,0.58133006
2021-11-07,26.4,31.4,25.7,27.5,32.9,24.4,87.0,65.0,88.0,81.8,1008.4,4.2,225.0,32.5,1,0,-0.8035476,0.5952404
2021-11-08,25.1,31.7,28.7,27.6,32.0,23.5,94.0,61.0,75.0,81.0,1009.2,4.3,45.0,70.0,1,0,-0.7931897,0.60897464
2021-11-09,27.0,31.9,29.8,28.9,32.8,26.0,88.0,60.0,69.0,76.3,1009.0,5.3,315.0,81.25,1,0,-0.782597,0.6225287
2021-11-10,26.3,30.4,29.1,28.0,31.6,24.2,82.0,61.0,62.0,71.8,1011.0,6.0,270.0,81.25,1,0,-0.77177274,0.6358985
2021-11-11,25.7,30.1,28.9,27.6,30.8,23.8,89.0,64.0,67.0,77.3,1009.5,5.0,225.0,0.0,1,0,-0.7607201,0.6490801
2021-11-12,26.8,32.4,25.5,27.9,32.9,25.9,77.0,52.0,86.0,73.0,1010.9,5.0,225.0,12.5,1,0,-0.74944234,0.6620696
2021-11-13,25.5,30.7,27.0,27.2,33.0,24.0,95.0,68.0,90.0,87.0,1010.4,3.2,225.0,12.5,1,0,-0.7379428,0.6748633
2021-11-14,25.7,33.6,29.7,28.7,34.0,24.0,88.0,49.0,62.0,71.8,1011.4,6.5,270.0,52.5,1,0,-0.7262249,0.6874572
2021-11-15,26.4,28.9,27.7,27.4,29.4,25.2,82.0,71.0,76.0,77.8,1010.8,5.8,225.0,0.0,1,0,-0.7142921,0.6998477
2021-11-16,26.7,33.0,29.3,28.9,33.4,25.0,77.0,52.0,65.0,67.8,1009.6,5.9,225.0,55.00000000000001,1,0,-0.70214796,0.71203107
2021-11-17,27.0,33.2,30.1,29.3,33.4,23.1,81.0,54.0,58.0,68.5,1010.3,4.7,225.0,63.74999999999999,1,0,-0.68979603,0.7240038
2021-11-18,26.6,32.0,28.8,28.5,33.1,24.2,88.0,56.0,69.0,75.3,1009.5,6.0,225.0,31.25,1,0,-0.67723995,0.73576224
2021-11-19,25.1,29.9,26.6,26.7,30.4,24.8,87.0,56.0,75.0,76.3,1008.6,6.9,225.0,5.0,1,0,-0.6644835,0.74730295
2021-11-20,26.0,31.8,26.2,27.5,32.3,23.5,81.0,62.0,81.0,76.3,1007.7,4.6,225.0,37.5,1,0,-0.6515304,0.7586226
2021-11-21,26.3,32.4,29.8,28.7,33.6,24.6,86.0,53.0,70.0,73.8,1008.7,6.5,270.0,58.74999999999999,1,0,-0.63838446,0.7697177
2021-11-22,26.3,30.7,28.4,27.9,32.0,23.0,85.0,64.0,69.0,75.8,1008.8,7.4,225.0,73.75,1,0,-0.62504965,0.780585
2021-11-26,26.6,33.0,26.3,28.1,34.5,24.9,81.0,62.0,94.0,79.5,1009.9,5.9,225.0,52.5,1,0,-0.56990105,0.8217133
2021-11-28,25.1,31.8,27.4,27.4,32.8,22.8,87.0,58.0,72.0,76.0,1010.3,7.7,225.0,23.75,1,0,-0.54129845,0.8408305
2021-11-29,26.0,30.8,27.7,27.6,31.6,24.4,81.0,59.0,73.0,73.5,1009.3,7.2,225.0,41.25,1,0,-0.52675474,0.8500173
2021-11-30,27.2,30.8,28.8,28.5,32.4,24.8,77.0,63.0,68.0,71.3,1009.8,3.3,225.0,11.25,1,0,-0.51205516,0.8589526
2021-12-06,25.6,30.0,26.8,27.0,30.8,23.0,88.0,68.0,89.0,83.3,1010.6,3.3,180.0,32.5,1,0,-0.420831,0.90713906
2021-12-07,23.8,27.6,27.5,25.7,29.0,22.9,99.0,83.0,83.0,91.0,1010.9,4.1,180.0,0.0,1,0,-0.4051645,0.9142438
2021-12-08,25.9,31.0,28.8,27.9,32.0,23.8,92.0,68.0,79.0,82.8,1011.4,4.5,315.0,0.0,1,0,-0.38937813,0.92107797
2021-12-09,25.8,30.2,28.4,27.5,31.6,23.2,93.0,71.0,80.0,84.3,1012.0,3.7,270.0,73.75,1,0,-0.37347654,0.9276396
2021-12-10,26.3,30.9,28.4,28.0,31.6,23.8,92.0,64.0,77.0,81.3,1012.0,5.4,225.0,72.5,1,0,-0.3574644,0.93392676
2021-12-11,24.8,30.4,26.8,26.7,30.8,23.0,96.0,72.0,84.0,87.0,1012.4,4.4,315.0,21.25,1,0,-0.3413465,0.93993753
2021-12-12,27.0,30.9,29.2,28.5,32.6,23.8,86.0,64.0,66.0,75.5,1011.7,6.4,270.0,55.00000000000001,1,0,-0.3251276,0.9456701
2021-12-13,26.6,31.2,29.9,28.6,32.4,24.8,84.0,69.0,67.0,76.0,1010.7,7.6,270.0,82.5,1,0,-0.30881247,0.95112294
2021-12-14,26.8,30.7,29.1,28.4,31.0,26.1,82.0,67.0,78.0,77.3,1009.5,6.4,270.0,0.0,1,0,-0.29240596,0.9562943
2021-12-15,26.7,30.2,27.1,27.7,32.6,24.8,88.0,71.0,77.0,81.0,1009.3,3.7,225.0,13.750000000000002,1,0,-0.27591294,0.96118265
2021-12-16,26.3,32.1,26.6,27.8,33.1,25.0,90.0,59.0,83.0,80.5,1009.8,3.9,180.0,46.25,1,0,-0.25933826,0.9657866
2021-12-17,26.6,32.5,27.7,28.4,32.6,23.2,86.0,59.0,75.0,76.5,1009.6,4.8,225.0,55.00000000000001,1,0,-0.24268684,0.9701047
2021-12-19,26.1,31.7,30.4,28.6,32.8,23.8,94.0,65.0,67.0,80.0,1010.4,4.0,225.0,54.99999999999999,1,0,-0.2091735,0.9778786
2021-12-22,24.8,31.0,29.0,27.4,32.2,22.8,95.0,65.0,71.0,81.5,1012.0,2.9,180.0,76.25,1,0,-0.15845178,0.98736674
2021-12-24,25.3,31.8,27.4,27.5,32.5,23.5,93.0,61.0,80.0,81.8,1011.2,3.5,225.0,53.75,1,0,-0.124394506,0.99223286
2021-12-25,26.2,31.0,26.5,27.5,31.4,24.4,91.0,65.0,86.0,83.3,1011.1,4.6,225.0,25.0,1,0,-0.107308134,0.9942258
2021-12-26,23.5,29.8,29.0,26.5,31.4,22.1,96.0,60.0,69.0,80.3,1013.5,3.5,270.0,33.75,1,0,-0.09019,0.9959246
2021-12-27,26.0,30.6,28.3,27.7,31.2,22.8,82.0,66.0,77.0,76.8,1013.2,4.5,180.0,88.75,1,0,-0.07304519,0.99732864
2021-12-28,26.6,30.1,28.6,28.0,31.0,23.4,84.0,69.0,77.0,78.5,1012.3,4.5,315.0,51.24999999999999,1,0,-0.05587876,0.9984376
2021-12-29,24.1,31.1,28.5,27.0,31.4,23.2,94.0,64.0,81.0,83.3,1011.3,3.2,270.0,32.49999999999999,1,0,-0.03869579,0.999251
2021-12-30,26.0,29.8,28.3,27.5,30.4,24.2,97.0,72.0,82.0,87.0,1010.7,3.3,225.0,6.25,1,0,-0.021501373,0.9997688
2021-12-31,24.8,32.2,30.7,28.1,32.8,24.2,96.0,56.0,59.0,76.8,1011.7,5.5,270.0,61.25000000000001,1,0,-0.004300593,0.99999076
